timestamp,model,batch_size,input_tokens,output_tokens,total_tokens,status,error
2026-07-20 22:33:03,gpt-4o-mini-2024-07-18,8,2317,403,2720,OK,
2026-07-20 22:33:11,gpt-4o-mini-2024-07-18,8,2145,404,2549,OK,
2026-07-20 22:33:18,gpt-4o-mini-2024-07-18,8,2149,418,2567,OK,
2026-07-20 22:33:26,gpt-4o-mini-2024-07-18,8,2067,433,2500,OK,
2026-07-20 22:33:34,gpt-4o-mini-2024-07-18,8,2045,404,2449,OK,
2026-07-20 22:33:41,gpt-4o-mini-2024-07-18,8,1978,414,2392,OK,
2026-07-20 22:33:48,gpt-4o-mini-2024-07-18,8,2006,402,2408,OK,
2026-07-20 22:33:55,gpt-4o-mini-2024-07-18,8,1946,416,2362,OK,
2026-07-20 22:34:03,gpt-4o-mini-2024-07-18,8,1957,408,2365,OK,
2026-07-20 22:34:11,gpt-4o-mini-2024-07-18,8,2085,417,2502,OK,
2026-07-20 22:34:21,gpt-4o-mini-2024-07-18,8,1939,429,2368,OK,
2026-07-20 22:34:28,gpt-4o-mini-2024-07-18,8,1905,414,2319,OK,
2026-07-20 22:34:35,gpt-4o-mini-2024-07-18,8,2293,421,2714,OK,
2026-07-20 22:34:41,gpt-4o-mini-2024-07-18,8,2250,413,2663,OK,
2026-07-20 22:34:50,gpt-4o-mini-2024-07-18,8,2015,416,2431,OK,
2026-07-20 22:34:56,gpt-4o-mini-2024-07-18,8,2105,419,2524,OK,
2026-07-20 22:35:08,gpt-4o-mini-2024-07-18,8,2139,420,2559,OK,
2026-07-20 22:35:20,gpt-4o-mini-2024-07-18,8,2045,408,2453,OK,
2026-07-20 22:35:29,gpt-4o-mini-2024-07-18,8,2178,412,2590,OK,
2026-07-20 22:35:39,gpt-4o-mini-2024-07-18,8,2060,417,2477,OK,
2026-07-20 22:35:47,gpt-4o-mini-2024-07-18,8,1935,416,2351,OK,
2026-07-20 22:35:58,gpt-4o-mini-2024-07-18,8,1932,411,2343,OK,
2026-07-20 22:36:09,gpt-4o-mini-2024-07-18,8,2010,402,2412,OK,
2026-07-20 22:36:19,gpt-4o-mini-2024-07-18,8,2198,413,2611,OK,
2026-07-20 22:36:27,gpt-4o-mini-2024-07-18,8,2062,409,2471,OK,
2026-07-20 22:36:35,gpt-4o-mini-2024-07-18,8,2003,408,2411,OK,
2026-07-20 22:36:55,gpt-4o-mini-2024-07-18,8,2054,424,2478,OK,
2026-07-20 22:37:04,gpt-4o-mini-2024-07-18,8,1946,418,2364,OK,
2026-07-20 22:37:13,gpt-4o-mini-2024-07-18,8,1935,405,2340,OK,
2026-07-20 22:37:22,gpt-4o-mini-2024-07-18,8,1948,413,2361,OK,
2026-07-20 22:37:29,gpt-4o-mini-2024-07-18,8,2087,403,2490,OK,
2026-07-20 22:37:36,gpt-4o-mini-2024-07-18,8,2092,413,2505,OK,
2026-07-20 22:37:44,gpt-4o-mini-2024-07-18,8,2112,405,2517,OK,
2026-07-20 22:37:52,gpt-4o-mini-2024-07-18,8,2150,402,2552,OK,
2026-07-20 22:37:59,gpt-4o-mini-2024-07-18,8,2134,412,2546,OK,
2026-07-20 22:38:06,gpt-4o-mini-2024-07-18,8,2351,406,2757,OK,
2026-07-20 22:38:12,gpt-4o-mini-2024-07-18,8,2039,419,2458,OK,
2026-07-20 22:38:19,gpt-4o-mini-2024-07-18,8,2126,416,2542,OK,
2026-07-20 22:38:26,gpt-4o-mini-2024-07-18,8,2035,415,2450,OK,
2026-07-20 22:38:34,gpt-4o-mini-2024-07-18,8,2074,411,2485,OK,
2026-07-20 22:38:40,gpt-4o-mini-2024-07-18,8,1990,410,2400,OK,
2026-07-20 22:38:48,gpt-4o-mini-2024-07-18,8,2026,407,2433,OK,
2026-07-20 22:38:54,gpt-4o-mini-2024-07-18,8,1964,425,2389,OK,
2026-07-20 22:39:01,gpt-4o-mini-2024-07-18,8,1955,407,2362,OK,
2026-07-20 22:39:12,gpt-4o-mini-2024-07-18,8,2109,416,2525,OK,
2026-07-20 22:39:32,gpt-4o-mini-2024-07-18,8,1867,426,2293,OK,
2026-07-20 22:39:43,gpt-4o-mini-2024-07-18,8,1906,406,2312,OK,
2026-07-20 22:39:56,gpt-4o-mini-2024-07-18,8,2266,421,2687,OK,
